Time,S_disp,B,U_cpu,P_idle_mode,R_DL,R_UL,S_cam,S_gps,Q_sat,I_bg_mode,P_total_mW
00:00,0,0,0.01,1,0,0,0,0,1,0,349
00:15,0,0,0.01,1,0,0,0,0,1,0,349
00:30,0,0,0.01,1,0,0,0,0,1,0,349
00:45,0,0,0.01,1,0,0,0,0,1,0,349
01:00,0,0,0.01,1,0,0,0,0,1,0,349
01:15,0,0,0.01,1,0,0,0,0,1,0,349
01:30,0,0,0.01,1,0,0,0,0,1,0,349
01:45,0,0,0.01,1,0,0,0,0,1,0,349
02:00,0,0,0.01,1,0,0,0,0,1,0,349
02:15,0,0,0.01,1,0,0,0,0,1,0,349
02:30,0,0,0.01,1,0,0,0,0,1,0,349
02:45,0,0,0.01,1,0,0,0,0,1,0,349
03:00,0,0,0.01,1,0,0,0,0,1,0,349
03:15,0,0,0.01,1,0,0,0,0,1,0,349
03:30,0,0,0.01,1,0,0,0,0,1,0,349
03:45,0,0,0.01,1,0,0,0,0,1,0,349
04:00,0,0,0.01,1,0,0,0,0,1,0,349
04:15,0,0,0.01,1,0,0,0,0,1,0,349
04:30,0,0,0.01,1,0,0,0,0,1,0,349
04:45,0,0,0.01,1,0,0,0,0,1,0,349
05:00,0,0,0.01,1,0,0,0,0,1,0,349
05:15,0,0,0.01,1,0,0,0,0,1,0,349
05:30,0,0,0.01,1,0,0,0,0,1,0,349
05:45,0,0,0.01,1,0,0,0,0,1,0,349
06:00,0,0,0.01,1,0,0,0,0,1,0,349
06:15,0,0,0.01,1,0,0,0,0,1,0,349
06:30,0,0,0.01,1,0,0,0,0,1,0,349
06:45,0,0,0.01,1,0,0,0,0,1,0,349
07:00,1,0.799699196180048,0.3,3,5,0,0,1,0.5,2,3804.92256524522
07:15,1,0.698171855449907,0.3,3,5,0,0,1,0.5,2,3622.43272769084
07:30,1,0.743530881201166,0.3,3,5,0,0,1,0.5,2,3700.90580555974
07:45,1,0.859483634497881,0.3,3,5,0,0,1,0.5,2,3923.95454156362
08:00,1,0.759933899222166,0.3,3,5,0,0,1,0.5,2,3730.49943742441
08:15,1,0.699667423852635,0.3,3,5,0,0,1,0.5,2,3624.9414048007
08:30,1,0.777574304638108,0.3,3,5,0,0,1,0.5,2,3763.04615908012
08:45,1,0.854856571186501,0.3,3,5,0,0,1,0.5,2,3914.43570876089
09:00,0,0.4,0.1,1,0,0,0,0,1,1,640
09:15,1,0.420226101119794,0.1,1,0,0,0,0,1,1,851.907971274812
09:30,0,0.4,0.1,1,0,0,0,0,1,1,640
09:45,0,0.4,0.1,1,0,0,0,0,1,1,640
10:00,1,0.399142177165917,0.1,1,0,0,0,0,1,1,831.177373111298
10:15,0,0.4,0.1,1,0,0,0,0,1,1,640
10:30,0,0.4,0.1,1,0,0,0,0,1,1,640
10:45,0,0.4,0.1,1,0,0,0,0,1,1,640
11:00,0,0.4,0.1,1,0,0,0,0,1,1,640
11:15,1,0.448250592791215,0.1,1,0,0,0,0,1,1,881.114312725211
11:30,0,0.4,0.1,1,0,0,0,0,1,1,640
11:45,1,0.43534238592042,0.1,1,0,0,0,0,1,1,867.427591574661
12:00,1,0.614770279973031,0.8,2,30,0,0,0,1,2,3678.53099656574
12:15,1,0.627102769910435,0.8,2,30,0,0,0,1,2,3696.90946083521
12:30,1,0.561214095520078,0.8,2,30,0,0,0,1,2,3602.9535132125
12:45,1,0.603449960494533,0.8,2,30,0,0,0,1,2,3661.98222578502
13:00,1,0.554658801674247,0.8,2,30,0,0,0,1,2,3594.17566352965
13:15,1,0.636481626824324,0.8,2,30,0,0,0,1,2,3711.13063354193
13:30,0,0.4,0.01,1,0,0,0,0,1,1,379
13:45,0,0.4,0.01,1,0,0,0,0,1,1,379
14:00,0,0.4,0.01,1,0,0,0,0,1,1,379
14:15,0,0.4,0.01,1,0,0,0,0,1,1,379
14:30,0,0.4,0.01,1,0,0,0,0,1,1,379
14:45,0,0.4,0.01,1,0,0,0,0,1,1,379
15:00,0,0.4,0.01,1,0,0,0,0,1,1,379
15:15,0,0.4,0.01,1,0,0,0,0,1,1,379
15:30,0,0.4,0.01,1,0,0,0,0,1,1,379
15:45,0,0.4,0.01,1,0,0,0,0,1,1,379
16:00,0,0.4,0.01,1,0,0,0,0,1,1,379
16:15,0,0.4,0.01,1,0,0,0,0,1,1,379
16:30,0,0.4,0.01,1,0,0,0,0,1,1,379
16:45,0,0.4,0.01,1,0,0,0,0,1,1,379
17:00,0,0.4,0.01,1,0,0,0,0,1,1,379
17:15,1,0.386783317417372,0.01,1,0,0,0,0,1,1,558.521601558865
17:30,0,0.4,0.01,1,0,0,0,0,1,1,379
17:45,1,0.467463002860389,0.01,1,0,0,0,0,1,1,641.225990851902
18:00,1,0.1,0.4,3,0,0,0,1,1,0,2892
18:15,1,0.1,0.4,3,0,0,0,1,1,0,2892
18:30,1,0.1,0.4,3,0,0,0,1,1,0,2892
18:45,1,0.1,0.4,3,0,0,0,1,1,0,2892
19:00,1,0.1,0.4,3,0,0,0,1,1,0,2892
19:15,1,0.1,0.4,3,0,0,0,1,1,0,2892
19:30,1,0.544828600785433,0.6,1,15,0,0,0,1,0,2438.70584508058
19:45,1,0.514383426107463,0.6,1,15,0,0,0,1,0,2400.00837086486
20:00,1,0.473884229447133,0.6,1,15,0,0,0,1,0,2351.97951550244
20:15,1,0.427252898964484,0.6,1,15,0,0,0,1,0,2301.55404760827
20:30,1,0.488438872395496,0.6,1,15,0,0,0,1,0,2368.78703848038
20:45,1,0.458916849191248,0.6,1,15,0,0,0,1,0,2335.22560936595
21:00,1,0.5720396872748,0.9,1,15,0,1,0,1,0,3345.17528458094
21:15,1,0.342839210837066,0.9,1,15,0,1,0,1,0,3093.54646938486
21:30,1,0.488032200551995,0.6,1,15,0,0,0,1,0,2368.31051453075
21:45,1,0.419786530635621,0.6,1,15,0,0,0,1,0,2293.96487756371
22:00,1,0.517093301666391,0.6,1,15,0,0,0,1,0,2403.3625791539
22:15,1,0.504605048588908,0.6,1,15,0,0,0,1,0,2388.0515060737
22:30,1,0.466657252632769,0.6,1,15,0,0,0,1,0,2343.82278972172
22:45,1,0.531386395086029,0.6,1,15,0,0,0,1,0,2421.34580105903
23:00,0,0,0.01,1,0,0,0,0,1,0,349
23:15,0,0,0.01,1,0,0,0,0,1,0,349
23:30,0,0,0.01,1,0,0,0,0,1,0,349
23:45,0,0,0.01,1,0,0,0,0,1,0,349
