Time,S_disp,B,U_cpu,P_idle_mode,R_DL,R_UL,S_cam,S_gps,Q_sat,I_bg_mode,P_total_mW
00:00,0,0,0.01,1,0,0,0,0,1,0,349
00:15,0,0,0.01,1,0,0,0,0,1,0,349
00:30,0,0,0.01,1,0,0,0,0,1,0,349
00:45,0,0,0.01,1,0,0,0,0,1,0,349
01:00,0,0,0.01,1,0,0,0,0,1,0,349
01:15,0,0,0.01,1,0,0,0,0,1,0,349
01:30,0,0,0.01,1,0,0,0,0,1,0,349
01:45,0,0,0.01,1,0,0,0,0,1,0,349
02:00,0,0,0.01,1,0,0,0,0,1,0,349
02:15,0,0,0.01,1,0,0,0,0,1,0,349
02:30,0,0,0.01,1,0,0,0,0,1,0,349
02:45,0,0,0.01,1,0,0,0,0,1,0,349
03:00,0,0,0.01,1,0,0,0,0,1,0,349
03:15,0,0,0.01,1,0,0,0,0,1,0,349
03:30,0,0,0.01,1,0,0,0,0,1,0,349
03:45,0,0,0.01,1,0,0,0,0,1,0,349
04:00,0,0,0.01,1,0,0,0,0,1,0,349
04:15,0,0,0.01,1,0,0,0,0,1,0,349
04:30,0,0,0.01,1,0,0,0,0,1,0,349
04:45,0,0,0.01,1,0,0,0,0,1,0,349
05:00,0,0,0.01,1,0,0,0,0,1,0,349
05:15,0,0,0.01,1,0,0,0,0,1,0,349
05:30,0,0,0.01,1,0,0,0,0,1,0,349
05:45,0,0,0.01,1,0,0,0,0,1,0,349
06:00,0,0,0.01,1,0,0,0,0,1,0,349
06:15,0,0,0.01,1,0,0,0,0,1,0,349
06:30,0,0,0.01,1,0,0,0,0,1,0,349
06:45,0,0,0.01,1,0,0,0,0,1,0,349
07:00,1,0.814240874940075,0.3,3,5,0,0,1,0.5,2,3833.08584290781
07:15,1,0.834312201704256,0.3,3,5,0,0,1,0.5,2,3872.79221989512
07:30,1,0.775859895321355,0.3,3,5,0,0,1,0.5,2,3759.85029260168
07:45,1,0.824324442200018,0.3,3,5,0,0,1,0.5,2,3852.91294321004
08:00,1,0.766433531391633,0.3,3,5,0,0,1,0.5,2,3742.40442964974
08:15,1,0.719113371680533,0.3,3,5,0,0,1,0.5,2,3658.04884959569
08:30,1,0.795212391547929,0.3,3,5,0,0,1,0.5,2,3796.33529720565
08:45,1,0.712302211615165,0.3,3,5,0,0,1,0.5,2,3646.34932880623
09:00,0,0.4,0.1,1,0,0,0,0,1,1,640
09:15,1,0.430874736200659,0.1,1,0,0,0,0,1,1,862.783645955185
09:30,0,0.4,0.1,1,0,0,0,0,1,1,640
09:45,0,0.4,0.1,1,0,0,0,0,1,1,640
10:00,0,0.4,0.1,1,0,0,0,0,1,1,640
10:15,0,0.4,0.1,1,0,0,0,0,1,1,640
10:30,0,0.4,0.1,1,0,0,0,0,1,1,640
10:45,0,0.4,0.1,1,0,0,0,0,1,1,640
11:00,0,0.4,0.1,1,0,0,0,0,1,1,640
11:15,0,0.4,0.1,1,0,0,0,0,1,1,640
11:30,0,0.4,0.1,1,0,0,0,0,1,1,640
11:45,1,0.332111615589329,0.1,1,0,0,0,0,1,1,772.357750251225
12:00,1,0.576283900927163,0.8,2,30,0,0,0,1,2,3623.52376136139
12:15,1,0.653815571237379,0.8,2,30,0,0,0,1,2,3737.96976143095
12:30,1,0.703725786947777,0.8,2,30,0,0,0,1,2,3819.27597985832
12:45,1,0.54940409326193,0.8,2,30,0,0,0,1,2,3587.21382923156
13:00,1,0.708780707478289,0.8,2,30,0,0,0,1,2,3827.84410955211
13:15,1,0.704015255936189,0.8,2,30,0,0,0,1,2,3819.76497670908
13:30,0,0.4,0.01,1,0,0,0,0,1,1,379
13:45,0,0.4,0.01,1,0,0,0,0,1,1,379
14:00,0,0.4,0.01,1,0,0,0,0,1,1,379
14:15,0,0.4,0.01,1,0,0,0,0,1,1,379
14:30,0,0.4,0.01,1,0,0,0,0,1,1,379
14:45,1,0.452000881578476,0.01,1,0,0,0,0,1,1,624.165756337263
15:00,0,0.4,0.01,1,0,0,0,0,1,1,379
15:15,0,0.4,0.01,1,0,0,0,0,1,1,379
15:30,0,0.4,0.01,1,0,0,0,0,1,1,379
15:45,0,0.4,0.01,1,0,0,0,0,1,1,379
16:00,0,0.4,0.01,1,0,0,0,0,1,1,379
16:15,0,0.4,0.01,1,0,0,0,0,1,1,379
16:30,0,0.4,0.01,1,0,0,0,0,1,1,379
16:45,0,0.4,0.01,1,0,0,0,0,1,1,379
17:00,0,0.4,0.01,1,0,0,0,0,1,1,379
17:15,0,0.4,0.01,1,0,0,0,0,1,1,379
17:30,0,0.4,0.01,1,0,0,0,0,1,1,379
17:45,0,0.4,0.01,1,0,0,0,0,1,1,379
18:00,1,0.1,0.4,3,0,0,0,1,1,0,2892
18:15,1,0.1,0.4,3,0,0,0,1,1,0,2892
18:30,1,0.1,0.4,3,0,0,0,1,1,0,2892
18:45,1,0.1,0.4,3,0,0,0,1,1,0,2892
19:00,1,0.1,0.4,3,0,0,0,1,1,0,2892
19:15,1,0.1,0.4,3,0,0,0,1,1,0,2892
19:30,1,0.475934333857212,0.6,1,15,0,0,0,1,0,2354.31618817293
19:45,1,0.511240436603544,0.6,1,15,0,0,0,1,0,2396.1401408223
20:00,1,0.521765431032561,0.6,1,15,0,0,0,1,0,2409.18699802471
20:15,1,0.582929507198547,0.6,1,15,0,0,0,1,0,2490.26817243529
20:30,1,0.51864039690834,0.6,1,15,0,0,0,1,0,2405.28543356629
20:45,1,0.469231255512239,0.6,1,15,0,0,0,1,0,2346.71356537951
21:00,1,0.538276834257856,0.9,1,15,0,1,0,1,0,4400.19034035839
21:15,1,0.474975513287708,0.9,1,15,0,1,0,1,0,4323.22208586751
21:30,1,0.467923052866329,0.6,1,15,0,0,0,1,0,2345.24238008449
21:45,1,0.526279265398663,0.6,1,15,0,0,0,1,0,2414.86383822627
22:00,1,0.544024707321742,0.6,1,15,0,0,0,1,0,2437.65545861181
22:15,1,0.464878268269459,0.6,1,15,0,0,0,1,0,2341.83416517105
22:30,1,0.544445445690454,0.6,1,15,0,0,0,1,0,2438.20501199969
22:45,1,0.451889991008589,0.6,1,15,0,0,0,1,0,2327.54547676849
23:00,0,0,0.01,1,0,0,0,0,1,0,349
23:15,0,0,0.01,1,0,0,0,0,1,0,349
23:30,0,0,0.01,1,0,0,0,0,1,0,349
23:45,0,0,0.01,1,0,0,0,0,1,0,349
